id,checked,notes,slug,tecservices_id,organization_name,organization_type,full_address,address,city,state,zip_code,org_phone,hours,website,appointment,internet,wifi,training,pc_use_restrictions,hardware_public,assistive_technology,internet_upload,internet_download,volunteers_used,volunteers_used_how,volunteers_wanted_how,public_wifi_detail,nearest_parking,nearest_parking_detail,public_transportation_detail,time_allowed_per_user,time_allowed_per_user_detail,room_list,handicap_access_detail,friendly_description,agency_leadership_contact,agency_staff_person_contact_email,twitter_handle,training_types,flickr_tag,training_headline,training_description,training_url,october_open_house,location_leadership,location_leadership_email,pcc_staff_person,pcc_staff_person_email,latitude,longitude
53,yes,can't find details or hours for the center,chicago-career-center-11004-s-michigan,,Chicago Career Center,WorkForce Center,"11004 S. Michigan Chicago, IL 60628",11004 S. Michigan,Chicago,IL,60628,(773) 233-4364,,http://www.southeastchicago.org/,0,1,0,1,,,,,,,,,,,,Bus stop on Michigan & 110th Street,,,,,,Karin Norington-Reaves,knorington-reaves@cwic.org,,,pcc-chicago-career-center-53,,,,,,,,,41.6942836,-87.6208125
54,yes,can't find any information on this center.,chicago-federation-of-labor-130-w-randolph,,Chicago Federation of Labor,WorkForce Center,"130 W. Randolph Chicago, IL 60601",130 W. Randolph,Chicago,IL,60601,(312) 565-9431,,http://www.chicagolabor.org/,0,1,0,1,,,,,,,,,,,,Multiple CTA train stops & bus stops,,,,,,Karin Norington-Reaves,knorington-reaves@cwic.org,,,pcc-chicago-federation-of-54,,,,,,,,,41.8844704,-87.631913
55,yes,missing location of computers in library and contacts,chicago-lawn-library-6120-s-kedzie-avenue,1030,Chicago Lawn Library,Chicago Public Library,"6120 S. Kedzie Avenue Chicago, IL 60629",6120 S. Kedzie Avenue,Chicago,IL,60629,(312) 747-0639,"M: 10AM-6PM; TU,TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/chicago-lawn/,0,1,1,1,,,,,,,,,,,,Bus stop on Kedzie & 61st Street,,,,,This library was dedicated in 1960. This branch has computer available for public use.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-chicago-lawn-55,CyberNavigators are available at this library to lead computer training lessons and answer technology questions.,"CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",,,,,,,41.7818994,-87.7033504
56,yes,missing location of computers in library and contacts,chinatown-library-2353-s-wentworth-avenue,1031,Chinatown Library,Chicago Public Library,"2353 S. Wentworth Avenue Chicago, IL 60616",2353 S. Wentworth Avenue,Chicago,IL,60616,(312) 747-8013,"M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/chinatown/,0,1,1,1,,,,,,,,,,,,Bus stop on Wentworth & 24th Street,,,,,The Chinatown Branch serves as a cultural and information center for those who seek information about the Chinatown community and Chinese culture. This branch has computers available for public use.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-chinatown-56,CyberNavigators are available at this library to lead computer training lessons and answer technology questions.,"CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php,,,,,,41.848912,-87.6316702
57,yes,,chinese-american-service-league-2141-s-tan-court,1130,Chinese American Service League,WorkNet Chicago,"2141 S. Tan Court Chicago, IL 60616",2141 S. Tan Court,Chicago,IL,60616,312-791-0418,M-F: 9AM-7PM; SA: 9AM-5PM; SU: Closed,http://www.caslservice.org,0,1,1,1,The PC in resource center and computer training are designated to job seekers clients and/or youth particiapnts.,12,We have one enlarge keyboard and one enlarge screen in one of the PC in resource center.,.75 Mbps,6 Mbps,yes,"Voluneers are helping out job seekers for mock interview and Vocational English as Second Langauge (VESL) training. Moreover, some volunteers are helping out youth participants in homework tutoring and ESL.",We would like to have more volunteers in helping out mock interviews for job seekers and homework tutoring and ACT preparation for youth participants.,,Paid,Street parking,CTA Cermak-Chinatown - Red Line (7 min walk) & various bus stops,unlimited,,,Only Elevators,There are 12 computers available for public use in the resource center.,John Mikols,John.Mikols@cityofchicago.org,,,pcc-chinese-american-service-57,,,,,,,,,41.854485,-87.6358044
58,yes,not lumity,chinese-mutual-aid-association-1016-w-argyle-st,,Chinese Mutual Aid Association,Community Technology Center,"1016 W Argyle St Chicago, IL 60640",1016 W Argyle St,Chicago,IL,60640,(773) 784-2900,M-F: 10AM-6PM; SA: 9AM-2PM,http://www.chinesemutualaid.org,0,1,0,1,,,,,,,,,,,,CTA Argyle - Red Line (3 min walk) & bus stop on Sheridan & Argyle,,,,,The Chinese Mutual Aid Society has a computer lab open to the public.,"Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-chinese-mutual-aid-58,,,,,Yin Cheng,,,,41.9734031,-87.6557264
59,yes,can't find any information on the CTC at this address though; not Lumity,cleanslate-1334-south-ashland,,Cleanslate,Community Technology Center,"1334 South Ashland Chicago, IL 60608",1334 South Ashland,Chicago,IL,60608,(312) 226-6361,M-F: 7:30AM-3:30PM,http://www.thecaraprogram.org,2,1,0,1,,,,,,,,,,,,"Bus stop on Ashland & 14th, as well as on, Ashland & 13th Street",,,,,,"Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-cleanslate-the-cara-59,,,,,,,,,41.864021,-87.6667219
60,yes,missing information on location of computers in library and contact,clearing-library-6423-w-63rd-place,1032,Clearing Library,Chicago Public Library,"6423 W. 63rd Place Chicago, IL 60638",6423 W. 63rd Place,Chicago,IL,60638,(312) 747-5657,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/clearing/,0,1,1,0,,,,,,,,,,,,Bus stop on Narragansett & 63rd Place Terminal,,,,,The branch contains artwork in a range of materials by three artists. There are computers available for public use at this branch.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-clearing-60,,,,,,,,,41.7765234,-87.7820984
61,YES,missing information on location of computers in library and contact,coleman-library-731-e-63rd-street,1033,Coleman Library,Chicago Public Library,"731 E. 63rd Street Chicago, IL 60637",731 E. 63rd Street,Chicago,IL,60637,(312) 747-7760,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/bessie-coleman/,0,1,1,1,,,,,,,,,,,,CTA East 63rd - Cottage Grove (2 min walk) & bus stop on Cottage Grove & 63rd Street,,,,,"The branch was named after pioneering pilot Bessie Coleman, who was the 
first African American and one of the first American women to receive a 
pilot's license. The branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-coleman-61,CyberNavigators are available at this library to lead computer training lessons and answer technology questions.,"CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php,,,,,,41.7803008,-87.6069586
62,yes,can't find information on the computer center name also does not appear when googled. Not Lumity,community-job-training-and-education-center-2021-w-fulton-ave,,Community Job Training and Education Center,Community Technology Center,"2021 W. Fulton Ave. Chicago, IL 60622",2021 W. Fulton Ave.,Chicago,IL,60622,(312) 563-9028,M-F: 8:30AM-4:30PM,http://www.gwtp.org,0,1,1,1,,,,,,,,,,,,Bus stop on Damen & Fulton,,,,,"There are computers available for public use at the community job training and education center, managed by the Greater West Town Community Development. Project","Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-community-job-training-62,,,,,,,,,41.886512,-87.678216
63,yes,can't find information on the computer center; not Lumity,community-tv-network---youth-media-ctr-2418-west-bloomingdale,,Community TV Network - Youth Media Ctr.,Community Technology Center,"2418 West Bloomingdale Chicago, IL 60647",2418 West Bloomingdale,Chicago,IL,60647,(773) 278-8500,M-F: 3PM-7PM,http://www.ctvnetwork.org,0,1,1,1,,,,,,,,,,,,CTA Damen-O'Hare - Blue line (4 min walk) & bus stop on Western & Bloomingdale,,,,,The Community TV Network has computers available for use by youth and members of the public.,"Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-community-tv-network-63,,,,,,,,,41.9139807,-87.6880435
64,yes,not on Lumity site,continental-plaza-ctc-1330-w-76th-street,,Continental Plaza CTC,Community Technology Center,"1330 W. 76th Street Chicago, IL 60620",1330 W. 76th Street,Chicago,IL,60620,(773) 487-3300,T-TH: 10AM-7:30PM; F: 12:30PM-4:30PM,http://www.hhdc.org,0,1,0,1,,,,,,,,,,,,Bus 75 - Damen stops in front of building,,,,,This is a community technology center managed by Hispanic Housing Development Corp. Computer labs are available to the public.,"Kara Kennedy, Janice Vinson","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-continental-plaza-ctc-64,Computer Literacy Training,"This center offers workforce development courses include an introduction to computers for those with little or no experience using the Windows operating system. The program reviews the basics of creating documents, using e-mail and the Internet.",http://www.hhdc.org/opportunities/computer.html,,,,,,41.7560067,-87.6578385
65,yes,cant find information on the computer center; not on Lumity site; Jonathan will check next week (10/17),crddc-technology-center-25-n-cicero-avenue,,CRDDC Technology Center,Community Technology Center,"25 N. Cicero Avenue Chicago, IL 60644",25 N. Cicero Avenue,Chicago,IL,60644,(773) 261-6098,M-F: 9AM-5PM,http://www.CRDDC.net,0,1,1,1,,,,,,,,,,,,CTA Cicero-Green - Green line (8 min walk) & Cicero & Washington,,,,,"The CRDDC supports community projects, programs and services to revitalize challenged urban communities, including in the area of economic development through entrepreneurship and computer technology.","Kara Kennedy, Janice Vinson","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-crddc-technology-center-65,,,,,,,,,41.8811042,-87.7453002
67,yes,missing specific location of computer lab in library and contact,richard-j-daley-library-3400-s-halsted-street,1034,Richard J. Daley Library,Chicago Public Library,"3400 S. Halsted Street Chicago, IL 60608",3400 S. Halsted Street,Chicago,IL,60608,(312) 747-8990,"M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/daley/,0,1,1,1,,,,,,,,,,,,Bus stop on Halstead & 34th Street,,,,,"The branch is named in honor of the late Mayor of Chicago, who was a lifelong resident of the Bridgeport community. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-richard-j-daley-67,"CyberNavigators are available at this library to lead computer training classes and answer technology questions. This branch also has free classroom trainings on computers and technology taught by qualified trainers from TEC Services, Inc.","CyberNavigators are available at this library to lead
computer training classes and answer technology questions. This branch also has
free classroom trainings on computers and technology taught by qualified
trainers from TEC Services, Inc.


CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",,,,,,,41.8325692,-87.6462758
69,yes,Dawson website does not contain information on any computer labs,dawson-technical-institute-3901-s-state-street,1005,Dawson Technical Institute,City Colleges of Chicago,"3901 S. State Street Chicago, IL 60609",3901 S. State Street,Chicago,IL,60609,773-602-5363,Varies— see details,http://apps.ccc.edu/dawson/index.html,2,1,2,2,"No unsupervised youth under the age of 16 may access any PCC.  To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules.  In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government.  A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf.  Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx.",16,,70+ Mbps,60+ Mbps,no,,,,Free,Parking in rear for staff/students,"CTA, bus stop on each side of the street",,N/A,Room 228,"Push button doors, and restrooms.","A satellite location of Kennedy-King College, Dawson Technical Institute provides job training for contruction trades and occupation careers. Under the BTOP initiative, community users have access to 16 computers at Dawson in the staff/lab area in room 228.","Willa Morgan, Cleveland Thompson","wmorgan1@ccc.edu, cthompson@ccc.edu",,,pcc-dawson-technical-institute-69,Digital Literacy Training,"City Colleges, in partnership with TEC Services, provide training in Digital Literacy, Microsoft Office and other topics. TEC Services, Inc. offers organized group classes taught by qualified trainers. Classes at Dawson are held in room 228.",,,,,,,41.8235415,-87.6262275
70,yes,,dearborn-homes-2910-s-dearborn,1160,Dearborn Homes,Chicago Housing Authority,"2910 S Dearborn Chicago, IL 60616",2910 S Dearborn,Chicago,IL,60616,312-225-0130,M-F: 9AM-5PM,http://www.thecha.org/pages/dearborn_homes/50.php?devID=256,2,1,2,1,No Food or drinks in the lab. No social media sites or games allowed.,28,Monitors for visually impaired - 24 inch,3.85 Mbps,39.88 Mbps,no,,,,,,Bus stop on State & 30th Street,,,,,"A combination of mid-rise, six- and nine-story buildings make up Dearborn Homes, a 16-acre development just north of the Illinois Institute of Technology. There are computers available for use by CHA residents and the public.","Susan Jackson, Kristen Hamer","sjackson@thecha.org, khamer@thecha.org",,,pcc-dearborn-homes-70,Digital Literacy Training,"Chicago Housing Authority, in partnership with TEC Services, provide training in Digital Literacy, Microsoft Office and other topics. TEC Services, Inc. offers organized group classes taught by qualified trainers.",www.terau.com/dearborn,,Brenda Parker,bparker@thecha.org,,,41.8420569,-87.628045
71,yes,missing information on location of labs,douglass-library-3353-w-13th-street,1035,Douglass Library,Chicago Public Library,"3353 W. 13th Street Chicago, IL 60623",3353 W. 13th Street,Chicago,IL,60623,(312) 747-3725,"M, W: 10PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/douglass/,0,1,1,0,,,,,,,,,,,,Bus stop on Homan & 13th Street,,,,,"The branch was named the Frederick A. Douglass Branch, in honor of the former slave and abolitionist. The building's design is Art Deco. There are computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-douglass-71,,,,,,,,,41.8645225,-87.7096586
72,yes,missing information on location of labs,dunning-library-7455-w-cornelia-avenue,1036,Dunning Library,Chicago Public Library,"7455 W. Cornelia Avenue Chicago, IL 60634",7455 W. Cornelia Avenue,Chicago,IL,60634,(312) 743-0480,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/dunning/,0,1,1,1,,,,,,,,,,,,Bus stop on Addison & Olcott,,,,,"Library service to this community began on January 27, 1953 with a weekly bookmobile stop at Oketo Avenue and Addison Street. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-dunning-72,,,,,,,,,41.9431863,-87.8138528
73,yes,DUPLICATE? same address at Chicago Career TEch location,dynamic-educational-systems-inc-11004-s-michigan-ave,1131,"Dynamic Educational Systems, Inc.",WorkNet Chicago,"11004 S. Michigan Ave. Chicago, IL 60628",11004 S. Michigan Ave.,Chicago,IL,60628,,,,2,2,2,2,,,,,,,,,,,,Bus stop on Michigan & 110th Street,,,,,,John Mikols,John.Mikols@cityofchicago.org,,,pcc-dynamic-educational-systems--73,,,,,,,,,41.6942836,-87.6208125
74,yes,,willett-employment-and-training-center-easter-seals-metropolitan-chicago-120-w-madison-oak-park,1133,"Willett Employment and Training Center, Easter Seals Metropolitan Chicago",WorkNet Chicago,"120 W. Madison, Oak Park Chicago, IL 60302","120 W. Madison, Oak Park",Chicago,IL,60302,708-524-8700,M-F: 8AM-4PM,http://chicago.easterseals.com/site/PageServer?pagename=ILCH_job_training,2,2,2,2,Computers are only to be used for employment or educational purposes. All printed material must be relevant to employment and eduaction as well.,65,Zoomtext Screen Reading Software JAWS Windows 7 Accessibility Options Narrator Sticky keys One stand-alone CCTV One Computer Split Screen CCTV Phone amplifier TTY,,,no,,,,,,Multiple CTA train stops & bus stops,,,,,The community employment program at Willett Rehabilitation Center has computers available for public use.,John Mikols,John.Mikols@cityofchicago.org,,,pcc-easter-seals-metropolitan-74,,,,,Laura Soteno,lsoteno@eastersealschicago.org,,,41.8800723,-87.7779809
75,yes,,easter-seals-metropolitan-chicago-center-2615-w-division,1123,Easter Seals Metropolitan Chicago Center,Youth Career Development Center,"2615 W. Division Chicago, IL 60622",2615 W. Division,Chicago,IL,60622,773-904-1010,M-F: 8:30AM-4:30PM,http://chicago.easterseals.com/site/PageServer?pagename=ILCH_homepage,2,1,2,2,Users cannot save or download files or programs to the hard drive. Saving files or documents to a disk is acceptable. Users may not install or use their own software programs on the public computers.,14,"Zoomtexts, alternative keyboard",2.73 Mbps,2.58 Mbps,no,,,,Paid,Metered parking on main street,CTA,Timed,During lab hours,,,,John Mikols,John.Mikols@cityofchicago.org,,,pcc-easter-seals-metropolitan-75,,,,,,,,,41.9028318,-87.6925692
76,yes,missing information on location of computers in library and contact,edgebrook-library-5331-w-devon-avenue,1037,Edgebrook Library,Chicago Public Library,"5331 W. Devon Avenue Chicago, IL 60646",5331 W. Devon Avenue,Chicago,IL,60646,,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/edgebrook/,0,1,1,0,,,,,,,,,,,,Metra Edgebrook - Milwaukee District North (MD-N) (2 min walk) & bus stop on Lehigh & Devon,,,,,"The branch houses art by Tom Denlinger, Jason Salavon, Yun-Hee Toh, Paula Townsend, and James Winn funded through the Percent-for-Art Ordinance administered by the City of Chicago Public Art Program. The collection represents a varied approach to landscape themes by the five artists.  This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-edgebrook-76,,,,,,,,,41.9969867,-87.7622019
77,yes,This location is under construction,edgewater-library-1210-w-elmdale-avenue,1038,Edgewater Library,Chicago Public Library,"1210 W. Elmdale Avenue Chicago, IL 60660",1210 W. Elmdale Avenue,Chicago,IL,60660,,Closed,http://www.chipublib.org/branch/details/library/edgewater/,0,1,1,1,,,,,,,,,,,,CTA Thorndale - Red LIne (1 min walk) & bus stop on Broadway & Elmdale,,,,,"This branch is currently closed for construction. For computer use, please visit the Edgewater Senior Satellite Center at 5917 N. Broadway.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-edgewater-77,,,,,,,,,41.9910763,-87.6604798
78,yes,,edgewater-senior-satellite-center-5917-n-broadway,1099,Edgewater Senior Satellite Center,Senior Center,"5917 N. Broadway Chicago, IL 60660",5917 N. Broadway,Chicago,IL,60660,312-742-5323,M-F: 8:30AM-4:30PM,http://www.cityofchicago.org/city/en/depts/fss/provdrs/senior/svcs/satellite_seniorcenters.html,2,1,2,2,Seniors who are 55 and older,7,not purchased yet,.75 Mbps,6 Mbps,yes,general senior center duties,,not activated yet,Paid,Paid parking lot and metered street parking,"CTA, in front of facility",Varies by availability,lab time during the week,,Push button doors,"Chicago Department of Family and Support Services (CDFSS) Regional
and Satellite Senior Centers offer public computer access and digital literacy training. The centers are community focal points where older adults come
together for services and activities that reflect their experience and skills,
respond to their diverse needs and interests, enhance their dignity, supports
their independence, and encourage their involvement in and with the center and
the community.",John Mikols,John.Mikols@cityofchicago.org,,,pcc-edgewater-senior-satellite-78,,,,,Darlene Lane Ferman,,,,41.9896066,-87.6600553
80,yes,,englewood-community-service-center-1140-w-79th-street,1114,Englewood Community Service Center,Community Technology Center,"1140 W. 79th Street Chicago, IL 60621",1140 W. 79th Street,Chicago,IL,60621,(312) 747-0200,"M-TU,TH-F: 9AM-5PM, W: 11AM-7PM",,2,2,2,2,,,,,,,,,,,,,,,,,,John Mikols,John.Mikols@cityofchicago.org,,,pcc-englewood-community-service-80,,,,,Allene Brown,,,,41.750758,-87.652938
81,yes,,englewood-senior-satellite-center-653---657-w-63rd-st,1098,Englewood Senior Satellite Center,Senior Center,"653 - 657 W. 63rd St Chicago, IL 60621",653 - 657 W. 63rd St,Chicago,IL,60621,312-745-3328,M-F: 8:30AM-4:30PM,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,1,1,0,1,For seniors over 55.,6,not purchased,.25 Mbps,.25 Mbps,yes,General senior center duties,,not activated yet,Free,free,,Varies by availability,lab time during the week,,,"Chicago Department of Family and Support Services (CDFSS) Regional
and Satellite Senior Centers offer public computer access and digital literacy training. The centers are community focal points where older adults come
together for services and activities that reflect their experience and skills,
respond to their diverse needs and interests, enhance their dignity, supports
their independence, and encourage their involvement in and with the center and
the community.",John Mikols,John.Mikols@cityofchicago.org,,,pcc-englewood-senior-satellite-81,,,,,,,,,41.7797275,-87.6421
82,yes,not lumity,erie-house--little-village-technology-center-4225-w-25th-st,,Erie House- Little Village Technology Center,Community Technology Center,"4225 W. 25th. St. Chicago, IL 60623",4225 W. 25th. St.,Chicago,IL,60623,(773) 542-7705,M-F: 9AM-5PM,http://www.eriehouse.org,0,1,1,1,,,,,,,,,,,,,,,,,"Eris House's nationally recognized technology programs, offer technology 
access and training to over 600 community residents of all ages 
annually. Through four technology resource centers across West Town and Little 
Village, and smaller mini-labs within program areas and classrooms, 
participants are provided everything from basic word processing and 
Internet skills to advanced courses that bridge them to new careers.","Kara Kennedy, Janice Vinson","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-erie-little-village-82,Technology Program,"Erie House's technology programs include:
Advancing Computer Skills; Building Community; Computer-based Learning; Innovative Technology Learning; State of the Art; Technology Tools for Change",http://www.eriehouse.org/see-what-we-do/programs/adults/technology-program,,Maria Serna,mserna@eriehouse.org,Maria Serna,mserna@eriehouse.org,41.8459905,-87.7304199
83,yes,not on Lumity site,erie-neighborhood-house-1347-w-erie-st,,Erie Neighborhood House,Community Technology Center,"1347 W. Erie St. Chicago, IL 60642",1347 W. Erie St.,Chicago,IL,60642,(312) 666-3430,M-F: 9AM-9PM; SA: 9AM-1PM,http://www.eriehouse.org,1,1,1,1,,,,,,,,,,,,,,,,,"Eris House's nationally recognized technology programs, offer technology 
access and training to over 600 community residents of all ages 
annually. Through four technology resource centers across West Town and Little 
Village, and smaller mini-labs within program areas and classrooms, 
participants are provided everything from basic word processing and 
Internet skills to advanced courses that bridge them to new careers.","Kara Kennedy, Janice Vinson","kkennedy@lumity.org,  jcarter@lumity.org",@ErieHouse,,pcc-erie-neighborhood-house-83,Technology Program,"Erie House's technology programs include:
Advancing Computer Skills; Building Community; Computer-based Learning; Innovative Technology Learning; State of the Art; Technology Tools for Change",http://www.eriehouse.org/see-what-we-do/programs/adults/technology-program,,,,,,41.89317,-87.6610539
85,yes,can't find details on computer lab; not Lumity,fulfilling-our-responsibility-unto-mandkind-forum-200-e-75th-street,,Fulfilling Our Responsibility Unto Mandkind (FORUM),Community Technology Center,"200 E 75th Street Chicago, IL 60619",200 E 75th Street,Chicago,IL,60619,(773) 994-9200,M-F: 8AM-9PM; SA: 8AM-1PM,http://www.forumdigital.org/,1,1,1,1,,,,,,,,,,,,,,,,,Forum has a computer lab available for public use.,"Kara Kennedy, Janice Vinson","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-forum-85,,,,,,,,,41.758544,-87.6191149
86,yes,missing computer lab location and contact info,gage-park-library-2807-w-55th-street,1039,Gage Park Library,Chicago Public Library,"2807 W. 55th Street Chicago, IL 60632",2807 W. 55th Street,Chicago,IL,60632,,"M,W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/gage-park/,0,1,1,0,,,,,,,,,,,,"# 55 Garfield CTA Bus, # 94 South California CTA Bus",,,,,This branch has computers available for public use.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-gage-park-86,,,,,,,,,41.7936066,-87.6942195
87,yes,,galewood-mont-clare-library-6871-w-belden,1040,Galewood-Mont Clare Library,Chicago Public Library,"6871 W. Belden Chicago, IL 60707",6871 W. Belden,Chicago,IL,60707,(312) 746-0165,"M-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",http://www.chipublib.org/branch/details/library/galewood-mont-clare/,0,1,1,0,,,,,,,,,,,,,,,,,"Galewood-Mont Clare Branch opened at its Grand & Sayre 
location on August 1, 1978, after serving the community since 1923 in 
former locations. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-galewood-mont-clare-87,,,,,,,,,41.9208169,-87.7971244
89,yes,missing information on computer locations. staff??,garfield-ridge-library-6348-s-archer-avenue,1041,Garfield Ridge Library,Chicago Public Library,"6348 S. Archer Avenue Chicago, IL 60638",6348 S. Archer Avenue,Chicago,IL,60638,(312) 747-6094,"M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/garfield-ridge/,0,1,1,0,,,,,,,,,,,,,,,,,The Garfield Ridge Branch first opened in 1961. There are computers at this branch available for public use.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-garfield-ridge-89,,,,,,,,,41.793056,-87.78021
90,yes,updated per Lumity site,center-of-higher-development--germano-8732-south-burley,,Center of Higher Development- Germano,Community Technology Center,"8732 South Burley Chicago, IL 60617",8732 South Burley,Chicago,IL,60617,(888) 312-5780,M-TH: 10AM-5PM,http://www.ctcconnect.org/Center-of-Higher-Development-Germano,0,1,0,1,,,,,,,,,,,,,,,,,The center of higher development is a Computer Technology Center which is designed to serve the direct needs of the community through improving its participants technology skills.,"Kara Kennedy, Jonathon Carter","kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-germano-millgate-ctc-90,Computer Literacy Training,"Type of training offered:
Basic Digital Literacy, Photo Illustration; Video Production; MS Office Suite; Social Media (Facebook, Twitter, LinkedIn)",,,"Walter Gillespie, Executive Director",walt@cohd.com,,,41.736807,-87.5458225
91,yes,,goodwill-industries-job-training-center-6054-south-western,1134,Goodwill Industries Job Training Center,WorkNet Chicago,"6054 South Western Chicago, IL 60629",6054 South Western,Chicago,IL,60629,773-627-5752,M-F: 8AM-4PM,,2,1,2,2,Usage of facebook website if restricted.,26,"Handicapped Accessible Computer Station with adjustable table. Phone Video Relay for Deaf and Hard of Hearing Population. Low front desk cubicle for customers in wheelchair, Screen Magnifyers.",.97 Mbps,1.53 Mbps,yes,"Volunteers assist and support staff in administrative support roles, usually contacting / re-engaging customers, informing customers of hiring events, workshops, etc.","To assist and support staff in administrative tasks, usually contacting / re-engaging customers, filing paperwork, informing customers of hiring events, workshops, etc.",,Free,"Approximately 10 parking spots available in rear of facility, and additional parking across street of facility, in Blast Fitness Parking Area",Bus Stop directly in front of facility,unlimited,"Facility has more than enough computers, that doesn't require time limits or restrictions in Lab",,Enlared / Widened Handicap Accessible Parking Spot Available,,John Mikols,John.MIkols@cityofchicago.org,,,pcc-goodwill-industries-91,,,,,,,,,41.783172,-87.684139
